,,개발 견 적 서 - 고객 발송용 표준 포맷,,,,,
,,,,,,,
,견적일자,YYYY.MM.DD,,공급자,(주)비브라이트코드,사업자번호,111-87-03249
,고객명,고객명 또는 기관명,,대표자,김대환,연락처,010-6622-5361
,프로젝트명,프로젝트명,,사업장소재지,"서울시 강서구 마곡동 800-3 우성에스비2차 1005호",,
,유효기간,발송일 기준 14일,,,,,,
,,,,,,,
,구분,분류,항목,기간,공급가액,비고
,1,랜딩 및 브랜드 웹,"메인 페이지, 소개 섹션, 포트폴리오/사례, 문의 페이지, 반응형, 기본 SEO",협의,"₩2,500,000",기본 골격
,2,관리자 및 운영시스템,"관리자 로그인, 문의 목록/상세, 상태 관리, 운영 메모, 기본 운영 대시보드",협의,"₩2,000,000",기본 골격
,3,블로그 / CMS,"블로그 목록/상세, 작성/수정, 발행 관리, 카테고리/태그, SEO 기본 필드",선택,"₩2,000,000",선택 기능
,4,인증,카카오싱크 연동 또는 기본 회원 로그인 확장,선택,₩800000~,정형화 feature
,5,콘텐츠 관리,"FAQ, 공지사항, 게시판, 후기/사례, 포트폴리오 관리 중 선택",선택,₩300000~,정형화 feature
,6,문의 / 리드 운영,"문의 저장 API, DB 연결, 문의 관리 확장, 견적 문의 운영 기능",선택,₩700000~,정형화 또는 가산
,7,외부 연동,"Slack 웹훅, 알림 연동, 정형화된 연동 기능 묶음",선택,₩400000~,정형화 feature
,8,맞춤형 기능,"고객 전용 운영 로직, 전용 관리자 흐름, 예외 처리 많은 기능",협의,별도 산정,커스텀
,9,AI 연동,"AI 상담, 자동분류, 요약, 추천, 내부 데이터 기반 LLM 기능",협의,컨설팅 후 별도 산정,AI
,10,인프라 / 배포 환경,"Git, DB, NeonDB, Vercel, 기본 배포 환경 구성",협의,"₩1,500,000",기본 골격
,11,QA 및 안정화,"주요 플로우 점검, 오류 수정, 배포 후 기본 안정화 작업",기본 포함,포함,별도 청구 없음
,,,,,,,
,공급가액 합계,,,,프로젝트별 산정,
,부가세,,,,공급가액의 10%,
,총계,,,,VAT 포함 금액 기준,
